,ID,POZO,E_Brent,VPN_incremental_porta,VPN_Total_porta,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,CH224,45,914.8685,914.8685,914.8685,914.8685,2.7109511788306184,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0
1,1,CH224,50,914.8685,914.8685,1153.3102,1153.3102,3.387790815979907,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,557.5242014350365,2228.5621892777513,0.0
2,2,CH224,55,914.8685,914.8685,1391.7518,1391.7518,4.064630453129196,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,660.8865336742869,2570.366206038141,0.0
3,3,CH224,60,914.8685,914.8685,1630.1935,1630.1935,4.741470090278485,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,764.2488659135367,2912.170222798533,0.0
4,4,CH224,65,914.8685,914.8685,1868.6352,1868.6352,5.418309727427775,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,867.6111981527871,3253.9742395589246,0.0
5,5,CH224,70,914.8685,914.8685,2107.0769,2107.0769,6.095149364577066,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,970.9735303920376,3595.778256319315,0.0
6,6,CH224,75,914.8685,914.8685,2345.5186,2345.5186,6.771989001726351,530,0,17.6945,0.0,0.09726053943642507,0.09726053943642507,0.0,0.09726053943642507,0.09726053943642507,2044.0,2044.0,0.1601,0.1601,4.7954,4.7954,12.392654907733545,505.3351723001639,454.1618691957861,1886.7581725173598,0.0,12.392654907733545,505.3351723001639,1074.3358626312877,3937.582273079707,0.0
7,7,CAN84,45,-500.5679,-500.5679,-500.5679,-500.5679,0.0,525,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0.0,500.56785935393594,0.0,0.0,0.0,0.0,500.56785935393594,0.0,0.0,0.0
8,8,CAN84,50,-500.5679,-500.5679,-500.5679,-500.5679,0.0,525,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0.0,500.56785935393594,0.0,0.0,0.0,0.0,500.56785935393594,0.0,0.0,0.0
9,9,CAN84,55,-500.5679,-500.5679,-500.5679,-500.5679,0.0,525,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0.0,500.56785935393594,0.0,0.0,0.0,0.0,500.56785935393594,0.0,0.0,0.0
10,10,CAN84,60,-500.5679,-500.5679,-500.5679,-500.5679,0.0,525,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0.0,500.56785935393594,0.0,0.0,0.0,0.0,500.56785935393594,0.0,0.0,0.0
